ride_id,rideable_type,started_at,ended_at,start_name,start_station_id,end_name,end_station_id,start_latitude,start_longitude,end_latitude,end_longitude,member_casual,trip_length,start_day,end_day
EAA871E7D81DA1B1,classic_bike,2024-07-01 14:44:42.176,2024-07-01 14:52:00.423,3 Ave & E 72 St,7028.04,E 85 St & 3 Ave,7212.05,40.7699426,-73.96060712,40.77801203,-73.95407149,casual,7.304116666666667,Monday,Monday
CC7DA3DC786647E3,electric_bike,2024-07-13 07:19:18.943,2024-07-13 07:28:01.179,Central Park W & W 97 St,7538.18,E 91 St & 2 Ave,7286.01,40.79249519495111,-73.96417066463071,40.78115276427916,-73.94963040947914,member,8.703933333333334,Saturday,Saturday
0A7F91F443A3DC5C,electric_bike,2024-07-09 09:19:15.985,2024-07-09 09:24:50.497,Jerome Ave & Ogden Ave,8081.01,Shakespeare Ave & W 169 St,8198.05,40.829806447,-73.930952072,40.839312,-73.922423,member,5.5752,Tuesday,Tuesday
DFF8E7F57F7BFC19,classic_bike,2024-07-05 15:32:20.081,2024-07-05 15:45:54.014,Irving Ave & DeKalb Ave,4898.02,Leonard St & Boerum St,5036.06,40.7027,-73.92095,40.70583339,-73.94644578,member,13.56555,Friday,Friday
88211C87238734BE,electric_bike,2024-07-07 03:44:50.459,2024-07-07 03:55:11.597,White St & Moore St,4987.06,Bushwick Ave & Harman St,4640.01,40.704383731,-73.934807658,40.69356,-73.92524,member,10.352300000000001,Sunday,Sunday
81E474A5AB96289B,electric_bike,2024-07-09 18:26:09.446,2024-07-09 18:35:19.148,74 St & 37 Ave,6332.06,43 St & 50 Ave,5983.04,40.749209523,-73.891839027,40.73787237950538,-73.92264068126678,member,9.1617,Tuesday,Tuesday
0D4CD837D98A3367,electric_bike,2024-07-11 19:30:16.290,2024-07-11 19:41:27.170,Canal St & Rutgers St,5303.08,Maiden Ln & Pearl St,5065.10,40.714301586,-73.990040779,40.70706456,-74.00731853,member,11.181333333333333,Thursday,Thursday
E3C01E1758CBA2E8,classic_bike,2024-07-02 23:43:14.125,2024-07-02 23:47:39.450,Lafayette St & E 8 St,5788.13,St Marks Pl & 1 Ave,5626.13,40.73020660529954,-73.99102628231049,40.72779126,-73.98564945,member,4.422083333333333,Tuesday,Tuesday
D45A3F69D9A256DB,electric_bike,2024-07-13 20:34:47.888,2024-07-13 20:51:18.889,West End Ave & W 107 St,7650.05,West End Ave & W 60 St,7059.08,40.8021174,-73.9681805305,40.77237,-73.99005,member,16.516683333333333,Saturday,Saturday
8292C031F8218245,electric_bike,2024-07-11 17:06:25.605,2024-07-11 17:14:48.355,8 Ave & W 27 St,6297.07,W Broadway & Spring St,5569.06,40.747909188,-73.996566772,40.72494672359416,-74.00165855884552,member,8.379166666666666,Thursday,Thursday
26E718E904D08FD3,electric_bike,2024-07-04 09:23:10.785,2024-07-04 09:27:39.577,W 47 St & 6 Ave,6667.04,E 44 St & Lexington Ave,6464.09,40.758832097,-73.983035564,40.752643,-73.974996,member,4.479866666666666,Thursday,Thursday
7B601CB5CB17504E,electric_bike,2024-07-03 09:44:54.046,2024-07-03 09:58:28.369,DeKalb Ave & Hudson Ave,4513.06,Marcy Ave & Lafayette Ave,4476.03,40.690033197,-73.980526567,40.6900815,-73.947915,casual,13.572049999999999,Wednesday,Wednesday
80EEBCC6C93E5D5B,electric_bike,2024-07-07 14:29:39.362,2024-07-07 14:36:15.006,Broadway & Battery Pl,4962.01,Bus Slip & State St,4889.06,40.70452106,-74.013177872,40.701907,-74.013942,casual,6.5940666666666665,Sunday,Sunday
3C9B0BD3FBA414A0,electric_bike,2024-07-03 18:44:22.312,2024-07-03 18:47:55.691,W 30 St & 8 Ave,6373.07,5 Ave & E 30 St,6248.08,40.749306679,-73.99514842,40.7459849,-73.98629487,member,3.5563166666666666,Wednesday,Wednesday
F4733D4BC116FD5C,electric_bike,2024-07-09 07:53:02.910,2024-07-09 08:00:42.009,Madison Ave & E 99 St,7443.01,E 128 St & Madison Ave,7735.23,40.789734006,-73.952236772,40.80756,-73.939182,member,7.65165,Tuesday,Tuesday
069CFBE7B3EB0FD7,classic_bike,2024-07-14 15:31:03.376,2024-07-14 15:55:13.216,Pier 61 at Chelsea Piers,6233.04,Warren St & W Broadway,5288.09,40.746872,-74.00821,40.71473993,-74.00910627,casual,24.163999999999998,Sunday,Sunday
B5FE06EB60DBB50C,electric_bike,2024-07-01 22:13:34.612,2024-07-01 22:35:42.748,E 76 St & Park Ave,7128.08,W 29 St & 9 Ave,6416.06,40.773826957,-73.962124825,40.7500727,-73.99839279,member,22.1356,Monday,Monday
BC5FF33FC350A8AA,electric_bike,2024-07-12 08:27:19.811,2024-07-12 08:41:53.107,E 33 St & 1 Ave,6197.08,W 51 St & 6 Ave,6740.1,40.743525386,-73.975072145,40.7606597,-73.98042047,member,14.554933333333334,Friday,Friday
1F952530DF02CBEA,electric_bike,2024-07-10 23:44:27.902,2024-07-10 23:50:17.294,8 Ave & W 31 St,6450.05,E 40 St & Park Ave,6432.11,40.750643849,-73.994659781,40.750756,-73.978326,member,5.8232,Wednesday,Wednesday
A865162CA3F56670,electric_bike,2024-07-02 17:03:58.195,2024-07-02 17:47:13.538,Mott St & Prince St,5561.04,Ditmars Blvd & 94 St,6978.04,40.723296762,-73.995004177,40.7702,-73.87587,casual,43.255716666666665,Tuesday,Tuesday
6BED3B6C3D3EDD89,electric_bike,2024-07-13 18:40:59.716,2024-07-13 19:03:21.919,Water St & Gouverneur Ln,4993.15,Front St & Jay St,4895.03,40.70469667894968,-74.00803416967392,40.702461,-73.986842,casual,22.37005,Saturday,Saturday
B2CB6BF64141E1B5,classic_bike,2024-07-02 11:47:10.957,2024-07-02 12:06:25.545,W 26 St & 10 Ave,6382.05,Warren St & W Broadway,5288.09,40.749717753,-74.002950346,40.71473993,-74.00910627,member,19.243133333333333,Tuesday,Tuesday
BEA8B1B3F69CD9FC,electric_bike,2024-07-03 17:18:15.176,2024-07-03 17:21:29.701,6 Ave & W 34 St,6364.10,8 Ave & W 38 St,6526.05,40.749512553,-73.98845911,40.75461,-73.99177,member,3.2420833333333334,Wednesday,Wednesday
5093A497BE7C8F0A,electric_bike,2024-07-08 06:09:32.673,2024-07-08 06:16:07.000,W 20 St & 8 Ave,6224.05,W 43 St & 6 Ave,6593.14,40.743528366,-74.00017035,40.75527307,-73.98316936,member,6.572116666666667,Monday,Monday
F6786FFEC5C27274,electric_bike,2024-07-12 17:16:36.107,2024-07-12 17:27:24.316,Pleasant Ave & E 116 St,7540.05,Lincoln Ave & E 138 St,7744.06,40.79499,-73.93333,40.810893,-73.927311,member,10.803483333333332,Friday,Friday
0186491A2B91DA54,classic_bike,2024-07-14 11:47:32.397,2024-07-14 11:58:00.967,MacDougal St & Prince St,5687.04,10 Ave & W 14 St,6157.04,40.72710258,-74.00297088,40.74198159994023,-74.00831580162048,casual,10.476166666666668,Sunday,Sunday
C1094CADFE381A05,electric_bike,2024-07-01 07:50:19.107,2024-07-01 07:53:35.855,Church Ave & Nostrand Ave,3359.01,New York Ave & Lenox Rd,3431.02,40.650768876,-73.950109005,40.65458,-73.94716,member,3.2791333333333332,Monday,Monday
C72BFBA3CA48CEB9,classic_bike,2024-07-08 08:38:39.647,2024-07-08 08:39:45.356,E 10 St & Ave A,5659.05,E 11 St & Ave B,5659.11,40.72740794,-73.98142006,40.72746420692392,-73.97950418293476,member,1.09515,Monday,Monday
7A14C80C8FB280BA,classic_bike,2024-07-11 04:52:34.108,2024-07-11 05:47:15.756,West End Ave & W 94 St,7524.09,Ditmars Blvd & 94 St,6978.04,40.7941654,-73.974124,40.7702,-73.87587,member,54.69413333333333,Thursday,Thursday
AA846E38E5462993,classic_bike,2024-07-02 07:09:48.571,2024-07-02 07:15:14.171,W 17 St & 8 Ave,6148.02,8 Ave & W 31 St,6450.05,40.74177603,-74.00149746,40.7505853470215,-73.9946848154068,member,5.426666666666667,Tuesday,Tuesday
4AC44D39B01B4DD2,electric_bike,2024-07-06 16:03:53.430,2024-07-06 16:22:25.040,Great Jones St,5636.11,Perry St & Bleecker St,5922.07,40.727450252,-73.993962049,40.73535398,-74.00483091,casual,18.526833333333332,Saturday,Saturday
CEB48ECC4F505436,electric_bike,2024-07-13 19:44:14.411,2024-07-13 19:48:06.025,Willoughby Ave & Onderdonk Ave,5115.05,Willoughby Ave & Onderdonk Ave,5115.05,40.7098,-73.91727,40.7098,-73.91727,member,3.8602333333333334,Saturday,Saturday
07098801DAE34E2F,classic_bike,2024-07-08 13:35:43.145,2024-07-08 13:47:02.767,Clinton St & Cherry St,5190.09,Peck Slip & South St,5096.12,40.711471394469264,-73.98672603070736,40.7075188830923,-74.00108054280281,casual,11.327033333333333,Monday,Monday
105460C1F3C38085,electric_bike,2024-07-12 13:28:17.962,2024-07-12 13:32:04.243,Richardson St & N Henry St,5433.03,Leonard St & Nassau Ave,5550.09,40.719050884,-73.942095041,40.7239567849954,-73.94984364509583,casual,3.77135,Friday,Friday
F3AEC846C02C3A66,classic_bike,2024-07-02 16:44:22.963,2024-07-02 16:46:30.005,Hazen St & 20 Ave,7032.06,76 St & 21 Ave,7032.02,40.772092,-73.895166,40.77028,-73.893675,member,2.117366666666667,Tuesday,Tuesday
A026C8DAB793EBCF,electric_bike,2024-07-10 17:18:20.244,2024-07-10 17:24:06.989,W 43 St & 10 Ave,6756.01,8 Ave & W 27 St,6297.07,40.76018703,-73.994427443,40.747968,-73.996637,member,5.779083333333333,Wednesday,Wednesday
D81D1510700BFF12,electric_bike,2024-07-01 17:51:37.802,2024-07-01 18:05:08.616,Courtlandt Ave & E 149 St,7840.05,Fulton Ave & St Paul's Pl,8152.03,40.816346407,-73.919616699,40.83545,-73.90153,member,13.513566666666666,Monday,Monday
87FF70CC93CF97CB,electric_bike,2024-07-09 08:59:25.478,2024-07-09 09:09:23.151,Bleecker St & Crosby St,5679.08,E 25 St & 1 Ave,6004.07,40.726181149,-73.99507618,40.7381765,-73.97738662,member,9.961216666666667,Tuesday,Tuesday
81107CAD4596B9FB,electric_bike,2024-07-07 06:46:07.513,2024-07-07 06:54:24.732,1 Ave & E 118 St,7596.11,E 93 St & 2 Ave,7286.02,40.797476768,-73.934450507,40.782454175279874,-73.9489196240902,casual,8.286983333333334,Sunday,Sunday
42FF857DEE068025,electric_bike,2024-07-10 20:09:04.924,2024-07-10 20:51:07.417,Wyckoff St & 3 Ave,4290.06,W 78 St & Broadway,7311.07,40.682821512,-73.982703686,40.78339981,-73.98093133,member,42.04155,Wednesday,Wednesday
3B8B794E91C77F7C,classic_bike,2024-07-06 22:16:57.507,2024-07-06 22:23:22.326,E 5 St & Cooper Sq,5712.12,Sullivan St & Washington Sq,5721.01,40.72769,-73.990993,40.73047747,-73.99906065,casual,6.4136500000000005,Saturday,Saturday
66EE08B0FA4373A3,electric_bike,2024-07-04 22:15:32.831,2024-07-04 22:23:26.833,3 St & 7 Ave,3905.15,Prospect Park SW & 16 St,3498.09,40.670484662,-73.978338122,40.657265,-73.974165,member,7.900033333333334,Thursday,Thursday
53C3A520525E9B51,electric_bike,2024-07-09 08:31:24.146,2024-07-09 08:38:06.872,W 30 St & 10 Ave,6459.07,W 24 St & 7 Ave,6257.03,40.7527349,-74.002172589,40.74487634,-73.99529885,member,6.7121,Tuesday,Tuesday
828C683547B07D85,classic_bike,2024-07-12 09:52:58.601,2024-07-12 09:58:56.915,Forsyth St & Grand St,5382.07,Norfolk St & Broome St,5374.01,40.71779817737835,-73.99316132068634,40.7172274,-73.98802084,member,5.971900000000001,Friday,Friday
4EC8B84BB1594496,classic_bike,2024-07-11 16:22:37.381,2024-07-11 16:27:15.152,E 2 St & Ave B,5515.02,St Marks Pl & 1 Ave,5626.13,40.72217444,-73.98368779,40.72779126,-73.98564945,member,4.6295166666666665,Thursday,Thursday
B1ED6D9A88F170C2,electric_bike,2024-07-08 17:01:24.219,2024-07-08 17:04:02.353,Smith St & 9 St,4077.04,Smith St & 3 St,4151.01,40.674586415,-73.997933149,40.6787242,-73.99599099,member,2.6355666666666666,Monday,Monday
